"ID","TimeStart","TimeEnd","Duration","LAeq","SEL","LAeq_Lmax","LAFmax","LCpeak","Onset","Threshold"
"AdmB",2019-06-24 21:46:39,2019-06-24 21:47:20,41,87.2,103.4,97.6,99.4,117.5,2.9,50
"AdmB",2019-06-24 21:47:20,2019-06-24 21:47:48,28,94.4,109.1,103.1,104.7,119.4,1.7,50
"AdmB",2019-06-24 21:47:48,2019-06-24 21:48:35,47,89.7,106.5,102.2,104.8,119.5,1,50
"AdmB",2019-06-24 21:48:35,2019-06-24 21:49:23,48,98.7,115.6,110.3,112.2,126.3,1.9,50
"AdmB",2019-06-24 21:49:23,2019-06-24 21:49:57,34,96.2,111.6,107.3,109,123.6,1.8,50
"AdmB",2019-06-24 21:49:57,2019-06-24 21:50:40,43,96.6,113,108.9,110.5,126.1,1.3,50
"AdmB",2019-06-24 21:50:40,2019-06-24 21:51:26,46,99.6,116.3,112.3,115.3,130.5,2.4,50
"AdmB",2019-06-24 21:51:26,2019-06-24 21:52:10,44,101.1,117.7,114.8,116.2,132.1,1.7,50
"AdmB",2019-06-24 21:52:10,2019-06-24 21:53:12,62,96.7,114.7,111.4,112.4,126.8,0.9,50
"AdmB",2019-06-24 21:53:12,2019-06-24 21:54:09,57,97.8,115.4,111.5,114.1,128.5,1,50
"AdmB",2019-06-24 21:54:09,2019-06-24 21:54:37,28,101.5,116.2,113.4,115.7,129,2.3,50
"AdmB",2019-06-24 21:54:37,2019-06-24 21:55:34,57,98.9,116.6,112.7,114.1,128.3,0.8,50
"AdmB",2019-06-24 21:55:34,2019-06-24 21:56:38,64,93.4,111.5,105,107.8,122.5,0.9,50
"AdmB",2019-06-24 21:56:38,2019-06-24 21:57:12,34,102.1,117.6,114.3,116.2,129.2,1.7,50
"AdmB",2019-06-24 21:57:12,2019-06-24 21:57:58,46,96.4,113.1,109.7,113.2,128.4,0.9,50
"AdmB",2019-06-24 21:57:58,2019-06-24 21:58:52,54,97.4,114.8,110.9,114.9,128.5,1,50
"AdmB",2019-06-24 21:58:52,2019-06-24 21:59:54,62,94.8,112.7,109.1,111.9,128.3,0.8,50
"AdmB",2019-06-24 21:59:54,2019-06-24 22:00:40,46,98.5,115.2,110.8,113.2,127.4,1.3,50
"AdmB",2019-06-24 22:00:40,2019-06-24 22:01:19,39,99.9,115.9,111.9,113.9,129.3,1.3,50
"AdmB",2019-06-24 22:01:19,2019-06-24 22:02:09,50,95.5,112.5,108,110,124.4,0.7,50
"AdmB",2019-06-24 22:02:09,2019-06-24 22:03:25,76,88.7,107.6,103.3,104.5,118,0.4,50
"AdmB",2019-06-24 22:03:25,2019-06-24 22:04:07,42,96.7,113,107.5,110,124.9,1.2,50
"AdmB",2019-06-24 22:04:07,2019-06-24 22:04:39,32,98.7,113.9,109,110.8,125.8,1.6,50
"AdmB",2019-06-24 22:04:39,2019-06-24 22:05:22,43,99.2,115.6,111.7,114.4,129.6,1.2,50
"AdmB",2019-06-24 22:05:22,2019-06-24 22:06:25,63,93.1,111.1,106,108.3,121.3,1.2,50
"AdmB",2019-06-24 22:06:25,2019-06-24 22:07:15,50,92.7,109.8,104.4,106.1,122.5,1.2,50
"AdmB",2019-06-24 22:07:15,2019-06-24 22:07:42,27,96,110.5,105.8,109.5,125.4,2,50
"AdmB",2019-06-24 22:07:42,2019-06-24 22:08:31,49,89.5,106.4,100.5,103.3,115.9,0.7,50
"AdmB",2019-06-24 22:08:31,2019-06-24 22:09:23,52,96.6,113.9,110.2,111.1,125.7,1.1,50
"AdmB",2019-06-24 22:09:23,2019-06-24 22:10:16,53,97.6,114.9,111.5,113.6,129.8,1,50
"AdmB",2019-06-24 22:10:16,2019-06-24 22:11:07,51,98,115.2,111,113,127.7,1.2,50
"AdmB",2019-06-24 22:11:07,2019-06-24 22:11:51,44,98.1,114.7,112.6,116,132.5,1.9,50
"AdmB",2019-06-24 22:11:51,2019-06-24 22:12:57,66,96.7,114.9,113.1,115.6,130,1.1,50
"AdmB",2019-06-24 22:12:57,2019-06-24 22:13:23,26,99.2,113.5,109.7,111,125.8,2.3,50
"AdmB",2019-06-24 22:13:23,2019-06-24 22:14:24,61,95.1,113,109.4,111.9,125.7,1.3,50
"AdmB",2019-06-24 22:14:24,2019-06-24 22:15:03,39,88.3,104.3,97.3,98.8,114.8,2.6,50
"AdmB",2019-06-24 22:15:03,2019-06-24 22:16:25,82,95.1,114.3,108.1,111.9,129.2,0.9,50
"AdmB",2019-06-24 22:16:25,2019-06-24 22:17:33,68,90.1,108.5,103.9,106.7,121.6,0.7,50
"AdmB",2019-06-24 22:17:33,2019-06-24 22:19:51,138,87.5,108.9,102,104.6,120.5,0.8,50
"AdmB",2019-06-24 22:27:58,2019-06-24 22:28:41,43,75.1,91.5,83.3,85.6,100,1.5,50
"AdmB",2019-06-24 22:29:33,2019-06-24 22:31:54,141,89.1,110.7,104.9,107.4,126.1,0.9,50
"AdmB",2019-06-24 22:32:09,2019-06-24 22:34:25,136,89.1,110.4,105.8,108.2,120.4,1,50
"AdmB",2019-06-24 22:34:25,2019-06-24 22:35:26,61,89.7,107.6,102.6,104.8,118.1,1.1,50
"AdmB",2019-06-24 22:35:26,2019-06-24 22:37:14,108,89.5,109.8,107,109.2,122.4,0.7,50
"AdmB",2019-06-24 22:37:14,2019-06-24 22:38:16,62,95.9,113.9,110.1,111.9,127.8,1.2,50
"AdmB",2019-06-24 22:38:16,2019-06-24 22:39:59,103,92.1,112.2,106.1,108.1,121.9,1.2,50
"AdmB",2019-06-24 22:39:59,2019-06-24 22:41:04,65,96.6,114.8,110.6,113.9,130.4,1.1,50
"AdmB",2019-06-24 22:41:04,2019-06-24 22:42:52,108,90.1,110.5,103.6,104.9,119.8,1.1,50
"AdmB",2019-06-24 22:42:52,2019-06-24 22:43:56,64,90.3,108.5,102.3,104.6,120.4,0.9,50
"AdmB",2019-06-24 22:43:56,2019-06-24 22:45:39,103,94.9,115.1,110,112.2,127.1,1.7,50
"AdmB",2019-06-24 22:45:39,2019-06-24 22:46:50,71,89,107.6,101.4,104.2,117.9,0.9,50
"AdmB",2019-06-24 22:46:50,2019-06-24 22:48:35,105,91.4,111.6,107.7,108.8,123.8,1.5,50
"AdmB",2019-06-24 22:48:35,2019-06-24 22:49:46,71,90.6,109.2,103.4,104.8,119.3,0.8,50
"AdmB",2019-06-24 22:49:46,2019-06-24 22:51:33,107,89.4,109.7,103.1,105,117.3,1.3,50
"AdmB",2019-06-24 22:51:33,2019-06-24 22:52:38,65,89.7,107.9,101.7,104.9,120.1,0.9,50
"AdmB",2019-06-24 22:52:38,2019-06-24 22:54:22,104,91.1,111.3,108.4,110.9,125.6,1.1,50
"AdmB",2019-06-24 22:54:22,2019-06-24 22:55:38,76,92.8,111.7,107.5,109.8,124.6,0.9,50
"AdmB",2019-06-24 22:55:38,2019-06-24 22:57:08,90,88.3,107.9,101.7,103.3,118.7,1.4,50
"AdmB",2019-06-24 22:57:08,2019-06-24 22:59:43,155,83.8,105.7,97.9,99,115.1,0.7,50
"AdmB",2019-06-24 23:00:09,2019-06-24 23:02:25,136,87,108.4,101.6,106.1,123.1,0.8,50
"AdmB",2019-06-24 23:16:41,2019-06-24 23:17:29,48,78.5,95.4,90.1,91.4,105.1,1.6,50
"AdmB",2019-06-24 23:18:01,2019-06-24 23:19:14,73,90.3,108.9,104.1,105.4,117.8,1.2,50
"AdmB",2019-06-24 23:19:14,2019-06-24 23:20:31,77,86.4,105.3,98.9,100.3,115.2,0.6,50
"AdmB",2019-06-24 23:20:31,2019-06-24 23:21:23,52,93.8,111.1,106.8,108.2,124.7,1,50
"AdmB",2019-06-24 23:21:23,2019-06-24 23:22:03,40,94.4,110.5,105.2,107.7,123.8,1.1,50
"AdmB",2019-06-24 23:22:03,2019-06-24 23:23:09,66,82.5,100.8,94.9,97.6,111.7,0.6,50
