"Time","Field"
2020-12-17 16:10:00,"Ault"
2020-12-17 16:13:00,"Ault"
2020-12-17 16:13:00,"Ault"
2020-12-17 16:32:00,"Ault"
2020-12-17 16:40:00,"Ault"
2020-12-17 16:46:00,"Ault"
2020-12-17 16:47:00,"Ault"
2020-12-17 16:48:00,"Ault"
2020-12-17 17:03:00,"Ault"
2020-12-17 17:25:00,"Ault"
2020-12-17 17:27:00,"Ault"
2020-12-17 17:28:00,"Ault"
2020-12-17 17:33:00,"Ault"
2020-12-17 17:34:00,"Ault"
2020-12-17 17:38:00,"Ault"
2020-12-17 18:03:00,"Ault"
2020-12-17 18:03:00,"Ault"
2020-12-17 18:06:00,"Ault"
2020-12-17 18:07:00,"Ault"
2020-12-17 18:09:00,"Ault"
2020-12-17 18:13:00,"Ault"
2020-12-17 18:17:00,"Ault"
2020-12-17 18:19:00,"Ault"
2020-12-17 18:24:00,"Ault"
2020-12-17 18:40:00,"Ault"
2020-12-17 18:51:00,"Ault"
2020-12-17 18:54:00,"Ault"
2020-12-17 18:59:00,"Ault"
2020-12-17 19:04:00,"Ault"
2020-12-17 19:07:00,"Ault"
2020-12-17 19:10:00,"Ault"
2020-12-17 19:12:00,"Ault"
2020-12-17 19:20:00,"Ault"
2020-12-17 19:23:00,"Ault"
2020-12-17 19:31:00,"Ault"
2020-12-17 19:32:00,"Ault"
2020-12-17 19:34:00,"Ault"
2020-12-17 19:42:00,"Ault"
2020-12-17 19:45:00,"Ault"
2020-12-17 19:47:00,"Ault"
2020-12-17 19:50:00,"Ault"
2020-12-17 19:57:00,"Ault"
2020-12-17 20:34:00,"Ault"
2020-12-17 20:46:00,"Ault"
2020-12-18 05:05:00,"Ault"
2020-12-18 08:44:00,"Ault"
2020-12-18 08:47:00,"Ault"
2020-12-18 08:47:00,"Ault"
2020-12-18 08:49:00,"Ault"
2020-12-18 08:52:00,"Ault"
2020-12-18 08:55:00,"Ault"
2020-12-18 08:58:00,"Ault"
2020-12-18 09:00:00,"Ault"
2020-12-18 09:00:00,"Ault"
2020-12-18 09:05:00,"Ault"
2020-12-18 09:06:00,"Ault"
2020-12-18 09:19:00,"Ault"
2020-12-18 09:27:00,"Ault"
2020-12-18 09:30:00,"Ault"
2020-12-18 09:30:00,"Ault"
2020-12-18 09:40:00,"Ault"
2020-12-18 09:43:00,"Ault"
2020-12-18 09:46:00,"Ault"
2020-12-18 10:01:00,"Ault"
2020-12-18 10:07:00,"Ault"
2020-12-18 10:08:00,"Ault"
2020-12-18 10:13:00,"Ault"
2020-12-18 10:14:00,"Ault"
2020-12-18 10:19:00,"Ault"
2020-12-18 10:21:00,"Ault"
2020-12-18 10:26:00,"Ault"
2020-12-18 10:27:00,"Ault"
2020-12-18 10:28:00,"Ault"
2020-12-18 10:31:00,"Ault"
2020-12-18 10:32:00,"Ault"
2020-12-18 10:33:00,"Ault"
2020-12-18 10:37:00,"Ault"
2020-12-18 10:38:00,"Ault"
2020-12-18 10:40:00,"Ault"
2020-12-18 10:41:00,"Ault"
2020-12-18 10:42:00,"Ault"
2020-12-18 10:44:00,"Ault"
2020-12-18 10:50:00,"Ault"
2020-12-18 10:54:00,"Ault"
2020-12-18 10:55:00,"Ault"
2020-12-18 10:56:00,"Ault"
2020-12-18 11:03:00,"Ault"
2020-12-18 11:06:00,"Ault"
